COUNTRY,Name,GDPpc,Trade
1,Argentina,13595.03736,25.28960114
2,Australia,57701.52385,41.95134487
3,Brazil,8470.939629,24.31973437
4,Canada,44325.48834,65.10106085
5,France,37694.0833,62.96184729
6,Germany,42639.55441,87.23720295
7,Greece,18304.30768,71.57895054
8,Hungary,13628.40449,165.2285156
9,India,1795.911839,40.74249695
10,Indonesia,3591.780029,39.35549707
11,Israel,37953.04046,56.56038393
12,Italy,31244.2271,58.60417595
13,Japan,35861.97285,34.42321357
14,Kenya,1550.203452,35.99505788
15,Mexico,9997.707942,77.1157445
16,Netherlands,46997.34545,156.0282112
17,Nigeria,2527.00012,26.347599
18,Philippines,3289.472272,68.16836974
19,Poland,13599.81802,101.2812224
20,Russia,9473.1875,46.87652434
21,South Africa,6233.187108,53.53593183
22,South Korea,30307.39524,77.12091781
23,Spain,27239.35244,66.65706087
24,Sweden,52576.81028,84.93474943
25,Tunisia,4006.87409,95.80919798
26,United Kingdom,46499.01355,62.7995672
27,United States,58207.57831,27.27916102
